code_name,n_cycles,fnc,unique_id,name,decoder_id,amended_decoder_id,partial_decoding,s_logical,weight,rand_seed,relay_decoder,bp_method,bp_max_iterations,osd_method,osd_order,ms_scaling_factor,gamma0,pre_iter,num_sets,set_max_iter,gamma_dist_interval,stop_nconv,duration,bad_shots,shot_time,bp_converged,bp_iterations,n_shots,n_fault_repeat,b_initial_state,b_amend_pairs,amend_fraction
144.12.12,4,0,71040a179aae436d92b9d4d1ab2d58f6,"one pair errors, 10000 iterations",25536da4ba354c8a99aed7db5373dc3b,,Z,Z,4,16215,RelayDecoderF64,,,,,,0.125,0.0,200.0,50.0,"(-0.24, 0.66)",1.0,1372.60402,520,0.1596051186046511,0.8830232558139535,1976.5088372093023,8600,,,False,0.0
144.12.12,4,0,743646a6f65c45cabab322f3f99dd11f,weight-4 errors with one more fault,25536da4ba354c8a99aed7db5373dc3b,,Z,Z,4+1,16215,RelayDecoderF64,,,,,,0.125,0.0,200.0,50.0,"(-0.24, 0.66)",1.0,1235.828218,213,0.0551709025892857,0.9798214285714286,609.2036160714285,22400,100.0,0.0,False,0.0
144.12.12,4,0,1651c5f402a840da9200ce191b361e8e,weight-4 errors with one more fault,25536da4ba354c8a99aed7db5373dc3b,,Z,Z,4+1,16215,RelayDecoderF64,,,,,,0.125,0.0,200.0,50.0,"(-0.24, 0.66)",1.0,3486.97742,706,0.1336006674329502,0.956206896551724,1517.9256704980844,26100,100.0,0.0,False,0.0
144.12.12,4,0,59db78d9fe49405993f2bb430788e0a2,weight-4 errors with one more fault,25536da4ba354c8a99aed7db5373dc3b,,X,X,4+1,16215,RelayDecoderF64,,,,,,0.125,0.0,200.0,50.0,"(-0.24, 0.66)",1.0,19176.730228,13257,0.4854868412151898,0.5933164556962025,5707.6536455696205,39500,100.0,0.0,False,0.0
144.12.12,4,0,9ada015d7c0b4d9ab296e6ec8594f00e,"all errors, 5000 iterations",25536da4ba354c8a99aed7db5373dc3b,,Z,Z,4,16217,RelayDecoderF64,,,,,,0.125,0.0,200.0,25.0,"(-0.24, 0.66)",1.0,14846.424688,11368,0.1114596448048048,0.8469744744744745,1205.9803453453453,133200,50.0,,False,0.0
144.12.12,4,0,5a955c7a44d24380862f530538fa582e,weight-4 errors with one more fault,25536da4ba354c8a99aed7db5373dc3b,,X,X,4+1,16215,RelayDecoderF64,,,,,,0.125,0.0,200.0,50.0,"(-0.24, 0.66)",1.0,28099.81907,31221,0.784911147206704,0.1017597765363128,9290.729553072626,35800,100.0,0.0,False,0.0
144.12.12,4,0,0156518629c74b5e9217389b3f3e0d78,"all errors, 5000 iterations",25536da4ba354c8a99aed7db5373dc3b,,X,X,4,16217,RelayDecoderF64,,,,,,0.125,0.0,200.0,25.0,"(-0.24, 0.66)",1.0,24461.848564,38675,0.1836475117417417,0.6518543543543543,2186.9897747747746,133200,50.0,,False,0.0
144.12.12,4,0,63dffe53ee0845ddbb823bb69e62d5f0,"all errors, 5000 iterations, amended",25536da4ba354c8a99aed7db5373dc3b,5057f97acf604c1d97016002aab45524,X,X,4,16217,RelayDecoderF64,,,,,,0.125,0.0,200.0,25.0,"(-0.24, 0.66)",1.0,1978.716987,0,0.0148552326351351,1.0,36.00528528528528,133200,50.0,,False,1.0
144.12.12,4,0,64d951ea8e004edd914b71bb99ff0002,"all errors, 5000 iterations, amended",25536da4ba354c8a99aed7db5373dc3b,85eb704c684f4ea8a376d89fe405586c,X,X,4,16217,RelayDecoderF64,,,,,,0.125,0.0,200.0,25.0,"(-0.24, 0.66)",1.0,3397.403963,495,0.0255060357582582,0.9951426426426426,87.50852102102102,133200,50.0,,False,0.8
144.12.12,4,0,30f941f63bcb4a2486bcb645dc380a7c,weight-4 errors with one more fault,25536da4ba354c8a99aed7db5373dc3b,,X,X,4+1,16215,RelayDecoderF64,,,,,,0.125,0.0,200.0,50.0,"(-0.24, 0.66)",1.0,3659.524123,930,0.1073174229618768,0.9655425219941348,908.5235190615836,34100,100.0,0.0,False,0.0
144.12.12,4,0,5b9f8eb773234443afa8ab5b30762a1c,"all errors, 5000 iterations, amended",25536da4ba354c8a99aed7db5373dc3b,13c14e902a9d420488215c32c8e97774,X,X,4,16217,RelayDecoderF64,,,,,,0.125,0.0,200.0,25.0,"(-0.24, 0.66)",1.0,5459.507124,1527,0.0409872907207207,0.9849249249249248,172.0608333333333,133200,50.0,,False,0.66
144.12.12,4,0,3840384c800543edbe1dea089568884c,"all errors, 5000 iterations, amended",25536da4ba354c8a99aed7db5373dc3b,d34bd7aa668244fabd027f2c86a1c6df,X,X,4,16217,RelayDecoderF64,,,,,,0.125,0.0,200.0,25.0,"(-0.24, 0.66)",1.0,8249.100953,3251,0.0619301873348348,0.96765015015015,317.88183933933936,133200,50.0,,False,0.5
144.12.12,4,0,58858a22ea994c83b63f6abc2b129c60,weight-4 errors with one more fault,25536da4ba354c8a99aed7db5373dc3b,,Z,Z,4+1,16215,RelayDecoderF64,,,,,,0.125,0.0,200.0,50.0,"(-0.24, 0.66)",1.0,10035.434857,2653,0.3904838465758755,0.8243190661478599,3548.633929961089,25700,100.0,0.0,False,0.0
144.12.12,4,0,792aaa61d2c248acb2ef861aab7a8980,weight-4 errors with one more fault,25536da4ba354c8a99aed7db5373dc3b,,Z,Z,4+1,16215,RelayDecoderF64,,,,,,0.125,0.0,200.0,50.0,"(-0.24, 0.66)",1.0,10654.380214,2651,0.416186727109375,0.81234375,3801.200234375,25600,100.0,0.0,False,0.0
144.12.12,4,0,06f3101c2ca24ae99bcbe3c4988e5f74,"all errors, 5000 iterations, amended",25536da4ba354c8a99aed7db5373dc3b,31af5db343404b7da4bd60d249b75bac,X,X,4,16217,RelayDecoderF64,,,,,,0.125,0.0,200.0,25.0,"(-0.24, 0.66)",1.0,11486.257125,6539,0.0862331615990991,0.9367192192192192,544.0124399399399,133200,50.0,,False,0.33
144.12.12,4,0,1d6233c0033049998ba6ff1b92cf1d19,weight-4 errors with one more fault,25536da4ba354c8a99aed7db5373dc3b,,X,X,4+1,16215,RelayDecoderF64,,,,,,0.125,0.0,200.0,50.0,"(-0.24, 0.66)",1.0,12873.345996,6270,0.3667619941880342,0.8117663817663817,3577.8536182336184,35100,100.0,0.0,False,0.0
144.12.12,4,0,a0e2f0884ece42b69144eef9c3e78139,"all errors, 5000 iterations, amended",25536da4ba354c8a99aed7db5373dc3b,557f001ff4054152ba94484761f0ca9a,X,X,4,16217,RelayDecoderF64,,,,,,0.125,0.0,200.0,25.0,"(-0.24, 0.66)",1.0,15301.11159,13203,0.1148732101351351,0.8787687687687687,913.9245645645644,133200,50.0,,False,0.2
144.12.12,4,0,5b15bd0a962c4d6e95e2d4d70f13ead9,"all errors, 5000 iterations, amended",25536da4ba354c8a99aed7db5373dc3b,68bc05d23ff0410f8ae28330cf5eef68,X,X,4,16217,RelayDecoderF64,,,,,,0.125,0.0,200.0,25.0,"(-0.24, 0.66)",1.0,18740.63052,21028,0.1406954243243243,0.8065840840840841,1365.103093093093,133200,50.0,,False,0.1
144.12.12,4,0,913401523856491ba04e1beb9131af0f,"all errors, 5000 iterations, amended",25536da4ba354c8a99aed7db5373dc3b,4ba75db394644baba4c98bae935631ac,X,X,4,16217,RelayDecoderF64,,,,,,0.125,0.0,200.0,25.0,"(-0.24, 0.66)",1.0,27131.463398,38675,0.2036896651501501,0.6518543543543543,2186.9897747747746,133200,50.0,,False,0.0
144.12.12,4,0,5114216ab3404456af2006ff411e233c,"all errors, 5000 iterations, amended",25536da4ba354c8a99aed7db5373dc3b,4ba75db394644baba4c98bae935631ac,X,X,4,16217,,ms,5000.0,osd_cs,10.0,0.0,,,,,,,88468.73801,51050,0.6641797147897898,0.2316066066066066,4001.69069069069,133200,50.0,,False,0.0
144.12.12,4,0,46359ae29d8c4fabbea0d36242ea0f38,"all errors, 5000 iterations, amended",25536da4ba354c8a99aed7db5373dc3b,68bc05d23ff0410f8ae28330cf5eef68,X,X,4,16217,,ms,5000.0,osd_cs,10.0,0.0,,,,,,,106548.010819,32450,0.7999099911336337,0.2725225225225225,3830.461711711712,133200,50.0,,False,0.1
